No.;MUESTREO;TRAMO;LLUVIA;Batds;Lpthy;Trcry;Prbtd;Cmlbt;Thrld;Lchln;Trpds
1;M1;A;P1;24;4;5;4;0;1;0;0
2;M2;A;P1;33;4;1;5;0;0;0;0
3;M3;A;P2;22;10;0;0;0;0;0;0
4;M4;A;P2;20;8;0;2;0;0;0;0
5;M5;A;P2;52;7;0;2;0;0;0;0
6;M6;A;P2;55;6;16;3;0;0;2;0
7;M7;A;P2;45;6;8;4;0;0;0;0
8;M8;A;P1;13;2;12;19;0;0;2;0
9;M9;A;P1;60;0;8;33;0;0;0;0
10;M10;A;P1;25;10;0;6;0;1;1;0
11;M1;B;P1;7;7;1;1;1;3;0;0
12;M2;B;P1;18;32;2;5;0;3;0;0
13;M3;B;P2;6;31;3;5;0;4;0;0
14;M4;B;P2;47;155;0;0;0;0;2;0
15;M5;B;P2;5;21;2;0;0;0;0;0
16;M6;B;P2;45;7;7;1;0;1;7;0
17;M7;B;P2;29;6;12;0;0;0;2;0
18;M8;B;P1;9;1;17;0;0;0;0;0
19;M9;B;P1;73;6;15;1;0;1;2;0
20;M10;B;P1;10;2;0;0;0;1;1;0
21;M1;C;P1;8;0;199;1;0;12;0;0
22;M2;C;P1;5;140;65;1;0;7;0;0
23;M3;C;P1;0;16;5;0;0;8;0;0
24;M4;C;P2;11;70;9;3;38;3;0;1
25;M5;C;P2;6;14;2;0;13;1;0;1
26;M6;C;P2;4;0;7;0;2;0;0;0
27;M7;C;P2;1;1;5;0;3;0;0;0
28;M10;C;P1;15;108;10;5;13;2;0;0
